Pos { x: 91, y: 69 }, Pos { x: 91, y: 68 }, Up(Dir { dx: 0, dy: -1 }), 1
Pos { x: 91, y: 45 }, Pos { x: 91, y: 44 }, Up(Dir { dx: 0, dy: -1 }), 25
Pos { x: 91, y: 45 }, Pos { x: 92, y: 45 }, Right(Dir { dx: 1, dy: 0 }), 25
Pos { x: 92, y: 45 }, Pos { x: 93, y: 45 }, Right(Dir { dx: 1, dy: 0 }), 26
Pos { x: 93, y: 45 }, Pos { x: 94, y: 45 }, Right(Dir { dx: 1, dy: 0 }), 27
Pos { x: 94, y: 45 }, Pos { x: 95, y: 45 }, Right(Dir { dx: 1, dy: 0 }), 28
Pos { x: 95, y: 45 }, Pos { x: 96, y: 45 }, Right(Dir { dx: 1, dy: 0 }), 29
Pos { x: 96, y: 45 }, Pos { x: 97, y: 45 }, Right(Dir { dx: 1, dy: 0 }), 30
Pos { x: 97, y: 45 }, Pos { x: 98, y: 45 }, Right(Dir { dx: 1, dy: 0 }), 31
Pos { x: 98, y: 45 }, Pos { x: 99, y: 45 }, Right(Dir { dx: 1, dy: 0 }), 32
Pos { x: 99, y: 45 }, Pos { x: 100, y: 45 }, Right(Dir { dx: 1, dy: 0 }), 33
Pos { x: 100, y: 45 }, Pos { x: 101, y: 45 }, Right(Dir { dx: 1, dy: 0 }), 34
Pos { x: 101, y: 45 }, Pos { x: 102, y: 45 }, Right(Dir { dx: 1, dy: 0 }), 35
Pos { x: 102, y: 45 }, Pos { x: 103, y: 45 }, Right(Dir { dx: 1, dy: 0 }), 36
Pos { x: 103, y: 45 }, Pos { x: 104, y: 45 }, Right(Dir { dx: 1, dy: 0 }), 37
Pos { x: 104, y: 45 }, Pos { x: 105, y: 45 }, Right(Dir { dx: 1, dy: 0 }), 38
Pos { x: 105, y: 45 }, Pos { x: 106, y: 45 }, Right(Dir { dx: 1, dy: 0 }), 39
Pos { x: 106, y: 45 }, Pos { x: 107, y: 45 }, Right(Dir { dx: 1, dy: 0 }), 40
Pos { x: 107, y: 45 }, Pos { x: 108, y: 45 }, Right(Dir { dx: 1, dy: 0 }), 41
Pos { x: 108, y: 45 }, Pos { x: 109, y: 45 }, Right(Dir { dx: 1, dy: 0 }), 42
Pos { x: 109, y: 45 }, Pos { x: 110, y: 45 }, Right(Dir { dx: 1, dy: 0 }), 43
Pos { x: 110, y: 45 }, Pos { x: 111, y: 45 }, Right(Dir { dx: 1, dy: 0 }), 44
Pos { x: 111, y: 45 }, Pos { x: 112, y: 45 }, Right(Dir { dx: 1, dy: 0 }), 45
Pos { x: 112, y: 45 }, Pos { x: 113, y: 45 }, Right(Dir { dx: 1, dy: 0 }), 46
Pos { x: 113, y: 45 }, Pos { x: 114, y: 45 }, Right(Dir { dx: 1, dy: 0 }), 47
Pos { x: 114, y: 45 }, Pos { x: 115, y: 45 }, Right(Dir { dx: 1, dy: 0 }), 48
Pos { x: 115, y: 45 }, Pos { x: 116, y: 45 }, Right(Dir { dx: 1, dy: 0 }), 49
Pos { x: 116, y: 45 }, Pos { x: 117, y: 45 }, Right(Dir { dx: 1, dy: 0 }), 50
Pos { x: 117, y: 45 }, Pos { x: 118, y: 45 }, Right(Dir { dx: 1, dy: 0 }), 51
Pos { x: 118, y: 45 }, Pos { x: 119, y: 45 }, Right(Dir { dx: 1, dy: 0 }), 52
Pos { x: 119, y: 45 }, Pos { x: 120, y: 45 }, Right(Dir { dx: 1, dy: 0 }), 53
Pos { x: 120, y: 45 }, Pos { x: 121, y: 45 }, Right(Dir { dx: 1, dy: 0 }), 54
Pos { x: 121, y: 45 }, Pos { x: 122, y: 45 }, Right(Dir { dx: 1, dy: 0 }), 55
Pos { x: 121, y: 45 }, Pos { x: 121, y: 46 }, Down(Dir { dx: 0, dy: 1 }), 55
Pos { x: 121, y: 46 }, Pos { x: 121, y: 47 }, Down(Dir { dx: 0, dy: 1 }), 56
Pos { x: 121, y: 47 }, Pos { x: 121, y: 48 }, Down(Dir { dx: 0, dy: 1 }), 57
Pos { x: 121, y: 48 }, Pos { x: 121, y: 49 }, Down(Dir { dx: 0, dy: 1 }), 58
Pos { x: 121, y: 49 }, Pos { x: 121, y: 50 }, Down(Dir { dx: 0, dy: 1 }), 59
Pos { x: 121, y: 50 }, Pos { x: 121, y: 51 }, Down(Dir { dx: 0, dy: 1 }), 60
Pos { x: 121, y: 51 }, Pos { x: 121, y: 52 }, Down(Dir { dx: 0, dy: 1 }), 61
Pos { x: 121, y: 52 }, Pos { x: 121, y: 53 }, Down(Dir { dx: 0, dy: 1 }), 62
Pos { x: 121, y: 53 }, Pos { x: 121, y: 54 }, Down(Dir { dx: 0, dy: 1 }), 63
Pos { x: 121, y: 54 }, Pos { x: 121, y: 55 }, Down(Dir { dx: 0, dy: 1 }), 64
Pos { x: 121, y: 55 }, Pos { x: 121, y: 56 }, Down(Dir { dx: 0, dy: 1 }), 65
Pos { x: 121, y: 56 }, Pos { x: 121, y: 57 }, Down(Dir { dx: 0, dy: 1 }), 66
Pos { x: 121, y: 57 }, Pos { x: 121, y: 58 }, Down(Dir { dx: 0, dy: 1 }), 67
Pos { x: 121, y: 58 }, Pos { x: 121, y: 59 }, Down(Dir { dx: 0, dy: 1 }), 68
Pos { x: 121, y: 59 }, Pos { x: 121, y: 60 }, Down(Dir { dx: 0, dy: 1 }), 69
Pos { x: 121, y: 60 }, Pos { x: 121, y: 61 }, Down(Dir { dx: 0, dy: 1 }), 70
Pos { x: 121, y: 61 }, Pos { x: 121, y: 62 }, Down(Dir { dx: 0, dy: 1 }), 71
Pos { x: 121, y: 62 }, Pos { x: 121, y: 63 }, Down(Dir { dx: 0, dy: 1 }), 72
Pos { x: 121, y: 63 }, Pos { x: 121, y: 64 }, Down(Dir { dx: 0, dy: 1 }), 73
Pos { x: 121, y: 64 }, Pos { x: 121, y: 65 }, Down(Dir { dx: 0, dy: 1 }), 74
Pos { x: 121, y: 65 }, Pos { x: 121, y: 66 }, Down(Dir { dx: 0, dy: 1 }), 75
Pos { x: 121, y: 66 }, Pos { x: 121, y: 67 }, Down(Dir { dx: 0, dy: 1 }), 76
Pos { x: 121, y: 67 }, Pos { x: 121, y: 68 }, Down(Dir { dx: 0, dy: 1 }), 77
Pos { x: 121, y: 68 }, Pos { x: 121, y: 69 }, Down(Dir { dx: 0, dy: 1 }), 78
Pos { x: 121, y: 69 }, Pos { x: 121, y: 70 }, Down(Dir { dx: 0, dy: 1 }), 79
Pos { x: 121, y: 70 }, Pos { x: 121, y: 71 }, Down(Dir { dx: 0, dy: 1 }), 80
Pos { x: 121, y: 71 }, Pos { x: 121, y: 72 }, Down(Dir { dx: 0, dy: 1 }), 81
Pos { x: 121, y: 72 }, Pos { x: 121, y: 73 }, Down(Dir { dx: 0, dy: 1 }), 82
Pos { x: 121, y: 73 }, Pos { x: 121, y: 74 }, Down(Dir { dx: 0, dy: 1 }), 83
Pos { x: 121, y: 74 }, Pos { x: 121, y: 75 }, Down(Dir { dx: 0, dy: 1 }), 84
Pos { x: 121, y: 75 }, Pos { x: 121, y: 76 }, Down(Dir { dx: 0, dy: 1 }), 85
Pos { x: 121, y: 76 }, Pos { x: 121, y: 77 }, Down(Dir { dx: 0, dy: 1 }), 86
Pos { x: 121, y: 77 }, Pos { x: 121, y: 78 }, Down(Dir { dx: 0, dy: 1 }), 87
Pos { x: 121, y: 78 }, Pos { x: 121, y: 79 }, Down(Dir { dx: 0, dy: 1 }), 88
Pos { x: 121, y: 79 }, Pos { x: 121, y: 80 }, Down(Dir { dx: 0, dy: 1 }), 89
Pos { x: 121, y: 80 }, Pos { x: 121, y: 81 }, Down(Dir { dx: 0, dy: 1 }), 90
Pos { x: 121, y: 81 }, Pos { x: 121, y: 82 }, Down(Dir { dx: 0, dy: 1 }), 91
Pos { x: 121, y: 82 }, Pos { x: 121, y: 83 }, Down(Dir { dx: 0, dy: 1 }), 92
Pos { x: 121, y: 83 }, Pos { x: 121, y: 84 }, Down(Dir { dx: 0, dy: 1 }), 93
Pos { x: 121, y: 84 }, Pos { x: 121, y: 85 }, Down(Dir { dx: 0, dy: 1 }), 94
Pos { x: 121, y: 85 }, Pos { x: 121, y: 86 }, Down(Dir { dx: 0, dy: 1 }), 95
Pos { x: 121, y: 86 }, Pos { x: 121, y: 87 }, Down(Dir { dx: 0, dy: 1 }), 96
Pos { x: 121, y: 87 }, Pos { x: 121, y: 88 }, Down(Dir { dx: 0, dy: 1 }), 97
Pos { x: 121, y: 88 }, Pos { x: 121, y: 89 }, Down(Dir { dx: 0, dy: 1 }), 98
Pos { x: 121, y: 89 }, Pos { x: 121, y: 90 }, Down(Dir { dx: 0, dy: 1 }), 99
Pos { x: 121, y: 90 }, Pos { x: 121, y: 91 }, Down(Dir { dx: 0, dy: 1 }), 100
Pos { x: 121, y: 91 }, Pos { x: 121, y: 92 }, Down(Dir { dx: 0, dy: 1 }), 101
Pos { x: 121, y: 92 }, Pos { x: 121, y: 93 }, Down(Dir { dx: 0, dy: 1 }), 102
Pos { x: 121, y: 93 }, Pos { x: 121, y: 94 }, Down(Dir { dx: 0, dy: 1 }), 103
Pos { x: 121, y: 94 }, Pos { x: 121, y: 95 }, Down(Dir { dx: 0, dy: 1 }), 104
Pos { x: 121, y: 95 }, Pos { x: 121, y: 96 }, Down(Dir { dx: 0, dy: 1 }), 105
Pos { x: 121, y: 95 }, Pos { x: 120, y: 95 }, Left(Dir { dx: -1, dy: 0 }), 105
Pos { x: 120, y: 95 }, Pos { x: 119, y: 95 }, Left(Dir { dx: -1, dy: 0 }), 106
Pos { x: 119, y: 95 }, Pos { x: 118, y: 95 }, Left(Dir { dx: -1, dy: 0 }), 107
Pos { x: 118, y: 95 }, Pos { x: 117, y: 95 }, Left(Dir { dx: -1, dy: 0 }), 108
Pos { x: 117, y: 95 }, Pos { x: 116, y: 95 }, Left(Dir { dx: -1, dy: 0 }), 109
Pos { x: 116, y: 95 }, Pos { x: 115, y: 95 }, Left(Dir { dx: -1, dy: 0 }), 110
Pos { x: 115, y: 95 }, Pos { x: 114, y: 95 }, Left(Dir { dx: -1, dy: 0 }), 111
Pos { x: 114, y: 95 }, Pos { x: 113, y: 95 }, Left(Dir { dx: -1, dy: 0 }), 112
Pos { x: 113, y: 95 }, Pos { x: 112, y: 95 }, Left(Dir { dx: -1, dy: 0 }), 113
Pos { x: 112, y: 95 }, Pos { x: 111, y: 95 }, Left(Dir { dx: -1, dy: 0 }), 114
Pos { x: 111, y: 95 }, Pos { x: 110, y: 95 }, Left(Dir { dx: -1, dy: 0 }), 115
Pos { x: 110, y: 95 }, Pos { x: 109, y: 95 }, Left(Dir { dx: -1, dy: 0 }), 116
Pos { x: 109, y: 95 }, Pos { x: 108, y: 95 }, Left(Dir { dx: -1, dy: 0 }), 117
Pos { x: 108, y: 95 }, Pos { x: 107, y: 95 }, Left(Dir { dx: -1, dy: 0 }), 118
Pos { x: 107, y: 95 }, Pos { x: 106, y: 95 }, Left(Dir { dx: -1, dy: 0 }), 119
Pos { x: 106, y: 95 }, Pos { x: 105, y: 95 }, Left(Dir { dx: -1, dy: 0 }), 120
Pos { x: 105, y: 95 }, Pos { x: 104, y: 95 }, Left(Dir { dx: -1, dy: 0 }), 121
Pos { x: 104, y: 95 }, Pos { x: 103, y: 95 }, Left(Dir { dx: -1, dy: 0 }), 122
Pos { x: 103, y: 95 }, Pos { x: 102, y: 95 }, Left(Dir { dx: -1, dy: 0 }), 123
Pos { x: 102, y: 95 }, Pos { x: 101, y: 95 }, Left(Dir { dx: -1, dy: 0 }), 124
Pos { x: 101, y: 95 }, Pos { x: 100, y: 95 }, Left(Dir { dx: -1, dy: 0 }), 125
Pos { x: 100, y: 95 }, Pos { x: 99, y: 95 }, Left(Dir { dx: -1, dy: 0 }), 126
Pos { x: 99, y: 95 }, Pos { x: 98, y: 95 }, Left(Dir { dx: -1, dy: 0 }), 127
Pos { x: 98, y: 95 }, Pos { x: 97, y: 95 }, Left(Dir { dx: -1, dy: 0 }), 128
Pos { x: 97, y: 95 }, Pos { x: 96, y: 95 }, Left(Dir { dx: -1, dy: 0 }), 129
Pos { x: 96, y: 95 }, Pos { x: 95, y: 95 }, Left(Dir { dx: -1, dy: 0 }), 130
Pos { x: 95, y: 95 }, Pos { x: 94, y: 95 }, Left(Dir { dx: -1, dy: 0 }), 131
Pos { x: 94, y: 95 }, Pos { x: 93, y: 95 }, Left(Dir { dx: -1, dy: 0 }), 132
Pos { x: 93, y: 95 }, Pos { x: 92, y: 95 }, Left(Dir { dx: -1, dy: 0 }), 133
Pos { x: 92, y: 95 }, Pos { x: 91, y: 95 }, Left(Dir { dx: -1, dy: 0 }), 134
Pos { x: 91, y: 95 }, Pos { x: 90, y: 95 }, Left(Dir { dx: -1, dy: 0 }), 135
Pos { x: 90, y: 95 }, Pos { x: 89, y: 95 }, Left(Dir { dx: -1, dy: 0 }), 136
Pos { x: 89, y: 95 }, Pos { x: 88, y: 95 }, Left(Dir { dx: -1, dy: 0 }), 137
Pos { x: 88, y: 95 }, Pos { x: 87, y: 95 }, Left(Dir { dx: -1, dy: 0 }), 138
Pos { x: 87, y: 95 }, Pos { x: 86, y: 95 }, Left(Dir { dx: -1, dy: 0 }), 139
Pos { x: 86, y: 95 }, Pos { x: 85, y: 95 }, Left(Dir { dx: -1, dy: 0 }), 140
Pos { x: 85, y: 95 }, Pos { x: 84, y: 95 }, Left(Dir { dx: -1, dy: 0 }), 141
Pos { x: 84, y: 95 }, Pos { x: 83, y: 95 }, Left(Dir { dx: -1, dy: 0 }), 142
Pos { x: 83, y: 95 }, Pos { x: 82, y: 95 }, Left(Dir { dx: -1, dy: 0 }), 143
Pos { x: 82, y: 95 }, Pos { x: 81, y: 95 }, Left(Dir { dx: -1, dy: 0 }), 144
Pos { x: 81, y: 95 }, Pos { x: 80, y: 95 }, Left(Dir { dx: -1, dy: 0 }), 145
Pos { x: 80, y: 95 }, Pos { x: 79, y: 95 }, Left(Dir { dx: -1, dy: 0 }), 146
Pos { x: 79, y: 95 }, Pos { x: 78, y: 95 }, Left(Dir { dx: -1, dy: 0 }), 147
Pos { x: 78, y: 95 }, Pos { x: 77, y: 95 }, Left(Dir { dx: -1, dy: 0 }), 148
Pos { x: 77, y: 95 }, Pos { x: 76, y: 95 }, Left(Dir { dx: -1, dy: 0 }), 149
Pos { x: 76, y: 95 }, Pos { x: 75, y: 95 }, Left(Dir { dx: -1, dy: 0 }), 150
Pos { x: 75, y: 95 }, Pos { x: 74, y: 95 }, Left(Dir { dx: -1, dy: 0 }), 151
Pos { x: 74, y: 95 }, Pos { x: 73, y: 95 }, Left(Dir { dx: -1, dy: 0 }), 152
Pos { x: 73, y: 95 }, Pos { x: 72, y: 95 }, Left(Dir { dx: -1, dy: 0 }), 153
Pos { x: 72, y: 95 }, Pos { x: 71, y: 95 }, Left(Dir { dx: -1, dy: 0 }), 154
Pos { x: 71, y: 95 }, Pos { x: 70, y: 95 }, Left(Dir { dx: -1, dy: 0 }), 155
Pos { x: 70, y: 95 }, Pos { x: 69, y: 95 }, Left(Dir { dx: -1, dy: 0 }), 156
Pos { x: 69, y: 95 }, Pos { x: 68, y: 95 }, Left(Dir { dx: -1, dy: 0 }), 157
Pos { x: 68, y: 95 }, Pos { x: 67, y: 95 }, Left(Dir { dx: -1, dy: 0 }), 158
Pos { x: 67, y: 95 }, Pos { x: 66, y: 95 }, Left(Dir { dx: -1, dy: 0 }), 159
Pos { x: 66, y: 95 }, Pos { x: 65, y: 95 }, Left(Dir { dx: -1, dy: 0 }), 160
Pos { x: 65, y: 95 }, Pos { x: 64, y: 95 }, Left(Dir { dx: -1, dy: 0 }), 161
Pos { x: 64, y: 95 }, Pos { x: 63, y: 95 }, Left(Dir { dx: -1, dy: 0 }), 162
Pos { x: 63, y: 95 }, Pos { x: 62, y: 95 }, Left(Dir { dx: -1, dy: 0 }), 163
Pos { x: 62, y: 95 }, Pos { x: 61, y: 95 }, Left(Dir { dx: -1, dy: 0 }), 164
Pos { x: 61, y: 95 }, Pos { x: 60, y: 95 }, Left(Dir { dx: -1, dy: 0 }), 165
Pos { x: 60, y: 95 }, Pos { x: 59, y: 95 }, Left(Dir { dx: -1, dy: 0 }), 166
Pos { x: 59, y: 95 }, Pos { x: 58, y: 95 }, Left(Dir { dx: -1, dy: 0 }), 167
Pos { x: 58, y: 95 }, Pos { x: 57, y: 95 }, Left(Dir { dx: -1, dy: 0 }), 168
Pos { x: 57, y: 95 }, Pos { x: 56, y: 95 }, Left(Dir { dx: -1, dy: 0 }), 169
Pos { x: 56, y: 95 }, Pos { x: 55, y: 95 }, Left(Dir { dx: -1, dy: 0 }), 170
Pos { x: 55, y: 95 }, Pos { x: 54, y: 95 }, Left(Dir { dx: -1, dy: 0 }), 171
Pos { x: 54, y: 95 }, Pos { x: 53, y: 95 }, Left(Dir { dx: -1, dy: 0 }), 172
Pos { x: 53, y: 95 }, Pos { x: 52, y: 95 }, Left(Dir { dx: -1, dy: 0 }), 173
Pos { x: 52, y: 95 }, Pos { x: 51, y: 95 }, Left(Dir { dx: -1, dy: 0 }), 174
Pos { x: 51, y: 95 }, Pos { x: 50, y: 95 }, Left(Dir { dx: -1, dy: 0 }), 175
Pos { x: 50, y: 95 }, Pos { x: 49, y: 95 }, Left(Dir { dx: -1, dy: 0 }), 176
Pos { x: 49, y: 95 }, Pos { x: 48, y: 95 }, Left(Dir { dx: -1, dy: 0 }), 177
Pos { x: 48, y: 95 }, Pos { x: 47, y: 95 }, Left(Dir { dx: -1, dy: 0 }), 178
Pos { x: 47, y: 95 }, Pos { x: 46, y: 95 }, Left(Dir { dx: -1, dy: 0 }), 179
Pos { x: 46, y: 95 }, Pos { x: 45, y: 95 }, Left(Dir { dx: -1, dy: 0 }), 180
Pos { x: 45, y: 95 }, Pos { x: 44, y: 95 }, Left(Dir { dx: -1, dy: 0 }), 181
Pos { x: 44, y: 95 }, Pos { x: 43, y: 95 }, Left(Dir { dx: -1, dy: 0 }), 182
Pos { x: 43, y: 95 }, Pos { x: 42, y: 95 }, Left(Dir { dx: -1, dy: 0 }), 183
Pos { x: 42, y: 95 }, Pos { x: 41, y: 95 }, Left(Dir { dx: -1, dy: 0 }), 184
Pos { x: 41, y: 95 }, Pos { x: 40, y: 95 }, Left(Dir { dx: -1, dy: 0 }), 185
Pos { x: 40, y: 95 }, Pos { x: 39, y: 95 }, Left(Dir { dx: -1, dy: 0 }), 186
Pos { x: 39, y: 95 }, Pos { x: 38, y: 95 }, Left(Dir { dx: -1, dy: 0 }), 187
Pos { x: 38, y: 95 }, Pos { x: 37, y: 95 }, Left(Dir { dx: -1, dy: 0 }), 188
Pos { x: 37, y: 95 }, Pos { x: 36, y: 95 }, Left(Dir { dx: -1, dy: 0 }), 189
Pos { x: 36, y: 95 }, Pos { x: 35, y: 95 }, Left(Dir { dx: -1, dy: 0 }), 190
Pos { x: 35, y: 95 }, Pos { x: 34, y: 95 }, Left(Dir { dx: -1, dy: 0 }), 191
Pos { x: 34, y: 95 }, Pos { x: 33, y: 95 }, Left(Dir { dx: -1, dy: 0 }), 192
Pos { x: 33, y: 95 }, Pos { x: 32, y: 95 }, Left(Dir { dx: -1, dy: 0 }), 193
Pos { x: 32, y: 95 }, Pos { x: 31, y: 95 }, Left(Dir { dx: -1, dy: 0 }), 194
Pos { x: 32, y: 95 }, Pos { x: 32, y: 94 }, Up(Dir { dx: 0, dy: -1 }), 194
Pos { x: 32, y: 94 }, Pos { x: 32, y: 93 }, Up(Dir { dx: 0, dy: -1 }), 195
Pos { x: 32, y: 93 }, Pos { x: 32, y: 92 }, Up(Dir { dx: 0, dy: -1 }), 196
Pos { x: 32, y: 92 }, Pos { x: 32, y: 91 }, Up(Dir { dx: 0, dy: -1 }), 197
Pos { x: 32, y: 91 }, Pos { x: 32, y: 90 }, Up(Dir { dx: 0, dy: -1 }), 198
Pos { x: 32, y: 90 }, Pos { x: 32, y: 89 }, Up(Dir { dx: 0, dy: -1 }), 199
Pos { x: 32, y: 89 }, Pos { x: 32, y: 88 }, Up(Dir { dx: 0, dy: -1 }), 200
Pos { x: 32, y: 88 }, Pos { x: 32, y: 87 }, Up(Dir { dx: 0, dy: -1 }), 201
Pos { x: 32, y: 87 }, Pos { x: 32, y: 86 }, Up(Dir { dx: 0, dy: -1 }), 202
Pos { x: 32, y: 86 }, Pos { x: 32, y: 85 }, Up(Dir { dx: 0, dy: -1 }), 203
Pos { x: 32, y: 85 }, Pos { x: 32, y: 84 }, Up(Dir { dx: 0, dy: -1 }), 204
Pos { x: 32, y: 84 }, Pos { x: 32, y: 83 }, Up(Dir { dx: 0, dy: -1 }), 205
Pos { x: 32, y: 83 }, Pos { x: 32, y: 82 }, Up(Dir { dx: 0, dy: -1 }), 206
Pos { x: 32, y: 82 }, Pos { x: 32, y: 81 }, Up(Dir { dx: 0, dy: -1 }), 207
Pos { x: 32, y: 81 }, Pos { x: 32, y: 80 }, Up(Dir { dx: 0, dy: -1 }), 208
Pos { x: 32, y: 80 }, Pos { x: 32, y: 79 }, Up(Dir { dx: 0, dy: -1 }), 209
Pos { x: 32, y: 79 }, Pos { x: 32, y: 78 }, Up(Dir { dx: 0, dy: -1 }), 210
Pos { x: 32, y: 78 }, Pos { x: 32, y: 77 }, Up(Dir { dx: 0, dy: -1 }), 211
Pos { x: 32, y: 77 }, Pos { x: 32, y: 76 }, Up(Dir { dx: 0, dy: -1 }), 212
Pos { x: 32, y: 76 }, Pos { x: 32, y: 75 }, Up(Dir { dx: 0, dy: -1 }), 213
Pos { x: 32, y: 75 }, Pos { x: 32, y: 74 }, Up(Dir { dx: 0, dy: -1 }), 214
Pos { x: 32, y: 74 }, Pos { x: 32, y: 73 }, Up(Dir { dx: 0, dy: -1 }), 215
Pos { x: 32, y: 73 }, Pos { x: 32, y: 72 }, Up(Dir { dx: 0, dy: -1 }), 216
Pos { x: 32, y: 72 }, Pos { x: 32, y: 71 }, Up(Dir { dx: 0, dy: -1 }), 217
Pos { x: 32, y: 71 }, Pos { x: 32, y: 70 }, Up(Dir { dx: 0, dy: -1 }), 218
Pos { x: 32, y: 71 }, Pos { x: 33, y: 71 }, Right(Dir { dx: 1, dy: 0 }), 218
Pos { x: 33, y: 71 }, Pos { x: 34, y: 71 }, Right(Dir { dx: 1, dy: 0 }), 219
Pos { x: 34, y: 71 }, Pos { x: 35, y: 71 }, Right(Dir { dx: 1, dy: 0 }), 220
Pos { x: 35, y: 71 }, Pos { x: 36, y: 71 }, Right(Dir { dx: 1, dy: 0 }), 221
Pos { x: 36, y: 71 }, Pos { x: 37, y: 71 }, Right(Dir { dx: 1, dy: 0 }), 222
Pos { x: 37, y: 71 }, Pos { x: 38, y: 71 }, Right(Dir { dx: 1, dy: 0 }), 223
Pos { x: 38, y: 71 }, Pos { x: 39, y: 71 }, Right(Dir { dx: 1, dy: 0 }), 224
Pos { x: 39, y: 71 }, Pos { x: 40, y: 71 }, Right(Dir { dx: 1, dy: 0 }), 225
Pos { x: 40, y: 71 }, Pos { x: 41, y: 71 }, Right(Dir { dx: 1, dy: 0 }), 226
Pos { x: 41, y: 71 }, Pos { x: 42, y: 71 }, Right(Dir { dx: 1, dy: 0 }), 227
Pos { x: 42, y: 71 }, Pos { x: 43, y: 71 }, Right(Dir { dx: 1, dy: 0 }), 228
Pos { x: 43, y: 71 }, Pos { x: 44, y: 71 }, Right(Dir { dx: 1, dy: 0 }), 229
Pos { x: 44, y: 71 }, Pos { x: 45, y: 71 }, Right(Dir { dx: 1, dy: 0 }), 230
Pos { x: 45, y: 71 }, Pos { x: 46, y: 71 }, Right(Dir { dx: 1, dy: 0 }), 231
Pos { x: 46, y: 71 }, Pos { x: 47, y: 71 }, Right(Dir { dx: 1, dy: 0 }), 232
Pos { x: 47, y: 71 }, Pos { x: 48, y: 71 }, Right(Dir { dx: 1, dy: 0 }), 233
Pos { x: 48, y: 71 }, Pos { x: 49, y: 71 }, Right(Dir { dx: 1, dy: 0 }), 234
Pos { x: 49, y: 71 }, Pos { x: 50, y: 71 }, Right(Dir { dx: 1, dy: 0 }), 235
Pos { x: 50, y: 71 }, Pos { x: 51, y: 71 }, Right(Dir { dx: 1, dy: 0 }), 236
Pos { x: 51, y: 71 }, Pos { x: 52, y: 71 }, Right(Dir { dx: 1, dy: 0 }), 237
Pos { x: 52, y: 71 }, Pos { x: 53, y: 71 }, Right(Dir { dx: 1, dy: 0 }), 238
Pos { x: 53, y: 71 }, Pos { x: 54, y: 71 }, Right(Dir { dx: 1, dy: 0 }), 239
Pos { x: 54, y: 71 }, Pos { x: 55, y: 71 }, Right(Dir { dx: 1, dy: 0 }), 240
Pos { x: 55, y: 71 }, Pos { x: 56, y: 71 }, Right(Dir { dx: 1, dy: 0 }), 241
Pos { x: 56, y: 71 }, Pos { x: 57, y: 71 }, Right(Dir { dx: 1, dy: 0 }), 242
Pos { x: 57, y: 71 }, Pos { x: 58, y: 71 }, Right(Dir { dx: 1, dy: 0 }), 243
Pos { x: 58, y: 71 }, Pos { x: 59, y: 71 }, Right(Dir { dx: 1, dy: 0 }), 244
